time, speed, x_loc, y_loc, dist, x_vel, y_vel, x_accel, y_accel, z_accel, pitch, yaw, roll, gyro_x, gyro_y, gyro_z
0.019288063,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.029882908,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.040324926,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.050896883,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.06146574,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.071754694,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.083222389,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.093736887,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.104007006,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.114958286,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.125475407,50,-0.000367539,0.020453888,0.02045719,-0.005990669,1.851981319,-0.047535274,0.226326868,1.033890128,-11.09537697,0.317198962,-2.983439207,-29.12126923,-1.099439621,23.94041252
0.136206388,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.146618843,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.157422066,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.167704821,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.178115606,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.188466549,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.198773623,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.209336996,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.219754696,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.230023146,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.240428925,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.250704288,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.261041641,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.271366119,50,-0.098140887,2.173561975,2.175776481,-0.240872707,11.34813726,0.008602021,-0.123219632,1.017327309,5.983562946,1.404273987,-2.096441507,-35.74536133,2.398222685,-20.98522758
0.281687975,50,-0.171595556,4.185313359,4.188829544,-0.602035038,12.37222701,-0.053569276,-0.44925335,0.962931991,19.7918644,2.168948889,-1.805491567,-63.58062363,-9.377137184,1.121440887
0.292193651,50,-0.171595556,4.185313359,4.188829544,-0.602035038,12.37222701,-0.053569276,-0.44925335,0.962931991,19.7918644,2.168948889,-1.805491567,-63.58062363,-9.377137184,1.121440887
